game,algorithm,seed,threshold,converged,episodes,restarts
IPD,Meta-MAPG,81,2.5,False,1000,0
IPD,Meta-MAPG,82,2.5,False,1000,0
IPD,Meta-MAPG,83,2.5,False,1000,0
IPD,Meta-MAPG,84,2.5,False,1000,0
IPD,Meta-MAPG,85,2.5,False,1000,0
IPD,Meta-MAPG,86,2.5,False,1000,0
IPD,Meta-MAPG,87,2.5,False,1000,0
IPD,Meta-MAPG,88,2.5,False,1000,0
IPD,Meta-MAPG,89,2.5,False,1000,0
IPD,Meta-MAPG,90,2.5,False,1000,0
IPD,Meta-MAPG,91,2.5,False,1000,0
IPD,Meta-MAPG,92,2.5,False,1000,0
IPD,Meta-MAPG,93,2.5,False,1000,0
IPD,Meta-MAPG,94,2.5,False,1000,0
IPD,Meta-MAPG,95,2.5,False,1000,0
IPD,Meta-MAPG,96,2.5,False,1000,0
IPD,Meta-MAPG,97,2.5,False,1000,0
IPD,Meta-MAPG,98,2.5,False,1000,0
IPD,Meta-MAPG,99,2.5,False,1000,0
IPD,Meta-MAPG+Restarts,0,2.5,False,1000,9
IPD,Meta-MAPG+Restarts,1,2.5,True,255,5
IPD,Meta-MAPG+Restarts,2,2.5,True,318,5
IPD,Meta-MAPG+Restarts,3,2.5,False,1000,16
IPD,Meta-MAPG+Restarts,4,2.5,False,1000,16
IPD,Meta-MAPG+Restarts,5,2.5,False,1000,7
IPD,Meta-MAPG+Restarts,6,2.5,True,228,3
IPD,Meta-MAPG+Restarts,7,2.5,True,306,6
IPD,Meta-MAPG+Restarts,8,2.5,True,268,5
IPD,Meta-MAPG+Restarts,9,2.5,False,1000,8
IPD,Meta-MAPG+Restarts,10,2.5,False,1000,13
IPD,Meta-MAPG+Restarts,11,2.5,False,1000,5
IPD,Meta-MAPG+Restarts,12,2.5,False,1000,7
IPD,Meta-MAPG+Restarts,13,2.5,False,1000,10
IPD,Meta-MAPG+Restarts,14,2.5,False,1000,1
IPD,Meta-MAPG+Restarts,15,2.5,False,1000,15
IPD,Meta-MAPG+Restarts,16,2.5,False,1000,10
IPD,Meta-MAPG+Restarts,17,2.5,True,102,2
IPD,Meta-MAPG+Restarts,18,2.5,True,323,4
IPD,Meta-MAPG+Restarts,19,2.5,False,1000,12
IPD,Meta-MAPG+Restarts,20,2.5,True,305,4
IPD,Meta-MAPG+Restarts,21,2.5,False,1000,13
IPD,Meta-MAPG+Restarts,22,2.5,True,293,5
IPD,Meta-MAPG+Restarts,23,2.5,False,1000,11
IPD,Meta-MAPG+Restarts,24,2.5,False,1000,3
IPD,Meta-MAPG+Restarts,25,2.5,False,1000,7
IPD,Meta-MAPG+Restarts,26,2.5,False,1000,14
IPD,Meta-MAPG+Restarts,27,2.5,False,1000,7
IPD,Meta-MAPG+Restarts,28,2.5,False,1000,4
IPD,Meta-MAPG+Restarts,29,2.5,True,357,6
IPD,Meta-MAPG+Restarts,30,2.5,False,1000,6
IPD,Meta-MAPG+Restarts,31,2.5,False,1000,5
IPD,Meta-MAPG+Restarts,32,2.5,False,1000,2
IPD,Meta-MAPG+Restarts,33,2.5,False,1000,8
IPD,Meta-MAPG+Restarts,34,2.5,True,618,5
IPD,Meta-MAPG+Restarts,35,2.5,False,1000,1
IPD,Meta-MAPG+Restarts,36,2.5,False,1000,12
IPD,Meta-MAPG+Restarts,37,2.5,False,1000,1
IPD,Meta-MAPG+Restarts,38,2.5,False,1000,4
IPD,Meta-MAPG+Restarts,39,2.5,False,1000,6
IPD,Meta-MAPG+Restarts,40,2.5,True,396,5
IPD,Meta-MAPG+Restarts,41,2.5,False,1000,8
IPD,Meta-MAPG+Restarts,42,2.5,False,1000,1
IPD,Meta-MAPG+Restarts,43,2.5,False,1000,3
IPD,Meta-MAPG+Restarts,44,2.5,True,204,4
IPD,Meta-MAPG+Restarts,45,2.5,False,1000,9
IPD,Meta-MAPG+Restarts,46,2.5,False,1000,1
IPD,Meta-MAPG+Restarts,47,2.5,False,1000,15
IPD,Meta-MAPG+Restarts,48,2.5,False,1000,6
IPD,Meta-MAPG+Restarts,49,2.5,True,999,8
IPD,Meta-MAPG+Restarts,50,2.5,True,51,1
IPD,Meta-MAPG+Restarts,51,2.5,False,1000,9
IPD,Meta-MAPG+Restarts,52,2.5,False,1000,13
IPD,Meta-MAPG+Restarts,53,2.5,True,490,7
IPD,Meta-MAPG+Restarts,54,2.5,True,215,4
IPD,Meta-MAPG+Restarts,55,2.5,False,1000,5
IPD,Meta-MAPG+Restarts,56,2.5,False,1000,7
IPD,Meta-MAPG+Restarts,57,2.5,False,1000,13
IPD,Meta-MAPG+Restarts,58,2.5,False,1000,14
IPD,Meta-MAPG+Restarts,59,2.5,False,1000,6
IPD,Meta-MAPG+Restarts,60,2.5,True,414,5
IPD,Meta-MAPG+Restarts,61,2.5,True,227,4
IPD,Meta-MAPG+Restarts,62,2.5,False,1000,7
IPD,Meta-MAPG+Restarts,63,2.5,False,1000,11
IPD,Meta-MAPG+Restarts,64,2.5,False,1000,9
IPD,Meta-MAPG+Restarts,65,2.5,False,1000,12
IPD,Meta-MAPG+Restarts,66,2.5,False,1000,16
IPD,Meta-MAPG+Restarts,67,2.5,False,1000,7
IPD,Meta-MAPG+Restarts,68,2.5,False,1000,4
IPD,Meta-MAPG+Restarts,69,2.5,False,1000,8
IPD,Meta-MAPG+Restarts,70,2.5,False,1000,5
IPD,Meta-MAPG+Restarts,71,2.5,False,1000,6
IPD,Meta-MAPG+Restarts,72,2.5,False,1000,10
IPD,Meta-MAPG+Restarts,73,2.5,False,1000,11
IPD,Meta-MAPG+Restarts,74,2.5,False,1000,8
IPD,Meta-MAPG+Restarts,75,2.5,False,1000,6
IPD,Meta-MAPG+Restarts,76,2.5,False,1000,4
IPD,Meta-MAPG+Restarts,77,2.5,False,1000,13
IPD,Meta-MAPG+Restarts,78,2.5,False,1000,10
IPD,Meta-MAPG+Restarts,79,2.5,False,1000,14
IPD,Meta-MAPG+Restarts,80,2.5,False,1000,9
IPD,Meta-MAPG+Restarts,81,2.5,False,1000,14
IPD,Meta-MAPG+Restarts,82,2.5,False,1000,1
IPD,Meta-MAPG+Restarts,83,2.5,False,1000,4
IPD,Meta-MAPG+Restarts,84,2.5,False,1000,3
IPD,Meta-MAPG+Restarts,85,2.5,False,1000,3
IPD,Meta-MAPG+Restarts,86,2.5,True,518,5
IPD,Meta-MAPG+Restarts,87,2.5,True,102,2
IPD,Meta-MAPG+Restarts,88,2.5,False,1000,4
IPD,Meta-MAPG+Restarts,89,2.5,False,1000,11
IPD,Meta-MAPG+Restarts,90,2.5,False,1000,10
IPD,Meta-MAPG+Restarts,91,2.5,False,1000,5
IPD,Meta-MAPG+Restarts,92,2.5,True,721,7
IPD,Meta-MAPG+Restarts,93,2.5,False,1000,6
IPD,Meta-MAPG+Restarts,94,2.5,False,1000,5
IPD,Meta-MAPG+Restarts,95,2.5,False,1000,8
IPD,Meta-MAPG+Restarts,96,2.5,False,1000,8
IPD,Meta-MAPG+Restarts,97,2.5,True,172,3
IPD,Meta-MAPG+Restarts,98,2.5,True,523,5
IPD,Meta-MAPG+Restarts,99,2.5,False,1000,10
StagHunt,REINFORCE,0,4.0,False,1000,0
StagHunt,REINFORCE,1,4.0,False,1000,0
StagHunt,REINFORCE,2,4.0,False,1000,0
StagHunt,REINFORCE,3,4.0,False,1000,0
StagHunt,REINFORCE,4,4.0,False,1000,0
StagHunt,REINFORCE,5,4.0,False,1000,0
StagHunt,REINFORCE,6,4.0,False,1000,0
StagHunt,REINFORCE,7,4.0,False,1000,0
StagHunt,REINFORCE,8,4.0,False,1000,0
StagHunt,REINFORCE,9,4.0,False,1000,0
StagHunt,REINFORCE,10,4.0,False,1000,0
StagHunt,REINFORCE,11,4.0,False,1000,0
StagHunt,REINFORCE,12,4.0,False,1000,0
StagHunt,REINFORCE,13,4.0,False,1000,0
StagHunt,REINFORCE,14,4.0,False,1000,0
StagHunt,REINFORCE,15,4.0,False,1000,0
StagHunt,REINFORCE,16,4.0,False,1000,0
StagHunt,REINFORCE,17,4.0,False,1000,0
StagHunt,REINFORCE,18,4.0,False,1000,0
StagHunt,REINFORCE,19,4.0,False,1000,0
StagHunt,REINFORCE,20,4.0,False,1000,0
StagHunt,REINFORCE,21,4.0,False,1000,0
StagHunt,REINFORCE,22,4.0,False,1000,0
StagHunt,REINFORCE,23,4.0,False,1000,0
StagHunt,REINFORCE,24,4.0,False,1000,0
StagHunt,REINFORCE,25,4.0,False,1000,0
StagHunt,REINFORCE,26,4.0,False,1000,0
StagHunt,REINFORCE,27,4.0,False,1000,0
StagHunt,REINFORCE,28,4.0,False,1000,0
StagHunt,REINFORCE,29,4.0,False,1000,0
StagHunt,REINFORCE,30,4.0,False,1000,0
StagHunt,REINFORCE,31,4.0,False,1000,0
StagHunt,REINFORCE,32,4.0,False,1000,0
StagHunt,REINFORCE,33,4.0,False,1000,0
StagHunt,REINFORCE,34,4.0,False,1000,0
StagHunt,REINFORCE,35,4.0,False,1000,0
StagHunt,REINFORCE,36,4.0,False,1000,0
StagHunt,REINFORCE,37,4.0,False,1000,0
StagHunt,REINFORCE,38,4.0,False,1000,0
StagHunt,REINFORCE,39,4.0,False,1000,0
StagHunt,REINFORCE,40,4.0,False,1000,0
StagHunt,REINFORCE,41,4.0,False,1000,0
StagHunt,REINFORCE,42,4.0,False,1000,0
StagHunt,REINFORCE,43,4.0,False,1000,0
StagHunt,REINFORCE,44,4.0,False,1000,0
StagHunt,REINFORCE,45,4.0,False,1000,0
StagHunt,REINFORCE,46,4.0,False,1000,0
StagHunt,REINFORCE,47,4.0,False,1000,0
StagHunt,REINFORCE,48,4.0,False,1000,0
StagHunt,REINFORCE,49,4.0,False,1000,0
StagHunt,REINFORCE,50,4.0,False,1000,0
StagHunt,REINFORCE,51,4.0,False,1000,0
StagHunt,REINFORCE,52,4.0,False,1000,0
StagHunt,REINFORCE,53,4.0,False,1000,0
