threshold,seed,converged,episodes,restarts
3.2,39,False,2000,19
3.5,39,False,2000,19
3.8,39,False,2000,19
4.0,39,False,2000,19
4.5,39,False,2000,19
5.0,39,False,2000,19
6.0,39,False,2000,19
0.0,40,False,2000,0
1.0,40,False,2000,0
2.0,40,False,2000,0
2.5,40,False,2000,1
2.8,40,False,2000,1
3.0,40,False,2000,1
3.2,40,False,2000,19
3.5,40,False,2000,19
3.8,40,False,2000,19
4.0,40,False,2000,19
4.5,40,False,2000,19
5.0,40,False,2000,19
6.0,40,False,2000,19
0.0,41,False,2000,0
1.0,41,False,2000,0
2.0,41,False,2000,0
2.5,41,False,2000,2
2.8,41,False,2000,2
3.0,41,False,2000,14
3.2,41,False,2000,19
3.5,41,False,2000,19
3.8,41,False,2000,19
4.0,41,False,2000,19
4.5,41,False,2000,19
5.0,41,False,2000,19
6.0,41,False,2000,19
0.0,42,False,2000,0
1.0,42,False,2000,0
2.0,42,False,2000,0
2.5,42,False,2000,1
2.8,42,False,2000,1
3.0,42,False,2000,4
3.2,42,False,2000,19
3.5,42,False,2000,19
3.8,42,False,2000,19
4.0,42,False,2000,19
4.5,42,False,2000,19
5.0,42,False,2000,19
6.0,42,False,2000,19
0.0,43,False,2000,0
1.0,43,False,2000,0
2.0,43,False,2000,0
2.5,43,False,2000,1
2.8,43,False,2000,1
3.0,43,False,2000,1
3.2,43,False,2000,19
3.5,43,False,2000,19
3.8,43,False,2000,19
4.0,43,False,2000,19
4.5,43,False,2000,19
5.0,43,False,2000,19
6.0,43,False,2000,19
0.0,44,False,2000,0
1.0,44,False,2000,0
2.0,44,False,2000,0
2.5,44,False,2000,2
2.8,44,False,2000,2
3.0,44,False,2000,2
3.2,44,False,2000,19
3.5,44,False,2000,19
3.8,44,False,2000,19
4.0,44,False,2000,19
4.5,44,False,2000,19
5.0,44,False,2000,19
6.0,44,False,2000,19
0.0,45,False,2000,0
1.0,45,False,2000,0
2.0,45,False,2000,0
2.5,45,False,2000,2
2.8,45,False,2000,1
3.0,45,False,2000,4
3.2,45,False,2000,19
3.5,45,False,2000,19
3.8,45,False,2000,19
4.0,45,False,2000,19
4.5,45,False,2000,19
5.0,45,False,2000,19
6.0,45,False,2000,19
0.0,46,True,1325,0
1.0,46,True,1325,0
2.0,46,True,1325,0
2.5,46,True,1325,0
2.8,46,True,790,1
3.0,46,False,2000,1
3.2,46,False,2000,19
3.5,46,False,2000,19
3.8,46,False,2000,19
4.0,46,False,2000,19
4.5,46,False,2000,19
5.0,46,False,2000,19
6.0,46,False,2000,19
0.0,47,False,2000,0
1.0,47,False,2000,0
2.0,47,False,2000,0
2.5,47,False,2000,6
2.8,47,False,2000,3
3.0,47,False,2000,14
3.2,47,False,2000,19
3.5,47,False,2000,19
3.8,47,False,2000,19
4.0,47,False,2000,19
4.5,47,False,2000,19
5.0,47,False,2000,19
6.0,47,False,2000,19
0.0,48,False,2000,0
1.0,48,False,2000,0
2.0,48,False,2000,0
2.5,48,False,2000,2
2.8,48,True,1103,4
3.0,48,False,2000,3
3.2,48,False,2000,19
3.5,48,False,2000,19
3.8,48,False,2000,19
4.0,48,False,2000,19
4.5,48,False,2000,19
5.0,48,False,2000,19
6.0,48,False,2000,19
0.0,49,False,2000,0
1.0,49,False,2000,0
2.0,49,False,2000,0
2.5,49,False,2000,2
2.8,49,False,2000,2
3.0,49,False,2000,2
3.2,49,False,2000,19
3.5,49,False,2000,19
3.8,49,False,2000,19
4.0,49,False,2000,19
4.5,49,False,2000,19
5.0,49,False,2000,19
6.0,49,False,2000,19
0.0,50,False,2000,0
1.0,50,False,2000,0
2.0,50,False,2000,0
2.5,50,False,2000,2
2.8,50,False,2000,1
3.0,50,False,2000,6
3.2,50,False,2000,19
3.5,50,False,2000,19
3.8,50,False,2000,19
4.0,50,False,2000,19
4.5,50,False,2000,19
5.0,50,False,2000,19
6.0,50,False,2000,19
0.0,51,False,2000,0
1.0,51,False,2000,0
2.0,51,False,2000,0
2.5,51,False,2000,2
2.8,51,False,2000,1
3.0,51,False,2000,2
3.2,51,False,2000,19
3.5,51,False,2000,19
3.8,51,False,2000,19
4.0,51,False,2000,19
4.5,51,False,2000,19
5.0,51,False,2000,19
6.0,51,False,2000,19
0.0,52,False,2000,0
1.0,52,False,2000,0
2.0,52,False,2000,0
2.5,52,False,2000,1
2.8,52,False,2000,1
3.0,52,False,2000,6
3.2,52,False,2000,19
3.5,52,False,2000,19
3.8,52,False,2000,19
4.0,52,False,2000,19
4.5,52,False,2000,19
5.0,52,False,2000,19
6.0,52,False,2000,19
0.0,53,False,2000,0
1.0,53,False,2000,0
2.0,53,False,2000,0
2.5,53,False,2000,2
2.8,53,False,2000,1
3.0,53,False,2000,19
3.2,53,False,2000,19
3.5,53,False,2000,19
3.8,53,False,2000,19
4.0,53,False,2000,19
4.5,53,False,2000,19
5.0,53,False,2000,19
6.0,53,False,2000,19
0.0,54,False,2000,0
1.0,54,False,2000,0
2.0,54,False,2000,0
2.5,54,False,2000,1
2.8,54,False,2000,1
3.0,54,False,2000,2
3.2,54,False,2000,19
3.5,54,False,2000,19
3.8,54,False,2000,19
4.0,54,False,2000,19
4.5,54,False,2000,19
5.0,54,False,2000,19
6.0,54,False,2000,19
0.0,55,False,2000,0
1.0,55,False,2000,0
2.0,55,False,2000,0
2.5,55,False,2000,0
2.8,55,False,2000,3
3.0,55,False,2000,16
3.2,55,False,2000,19
3.5,55,False,2000,19
3.8,55,False,2000,19
4.0,55,False,2000,19
4.5,55,False,2000,19
5.0,55,False,2000,19
6.0,55,False,2000,19
0.0,56,False,2000,0
1.0,56,False,2000,0
2.0,56,False,2000,0
2.5,56,False,2000,1
2.8,56,False,2000,1
3.0,56,False,2000,1
3.2,56,False,2000,19
3.5,56,False,2000,19
3.8,56,False,2000,19
4.0,56,False,2000,19
4.5,56,False,2000,19
5.0,56,False,2000,19
6.0,56,False,2000,19
0.0,57,False,2000,0
1.0,57,False,2000,0
2.0,57,False,2000,0
2.5,57,False,2000,3
2.8,57,True,796,3
3.0,57,True,796,3
3.2,57,True,796,3
3.5,57,True,675,4
3.8,57,True,675,4
4.0,57,True,675,4
4.5,57,False,2000,19
5.0,57,False,2000,19
6.0,57,False,2000,19
0.0,58,False,2000,0
1.0,58,False,2000,0
2.0,58,False,2000,0
2.5,58,False,2000,2
2.8,58,False,2000,2
3.0,58,False,2000,5
3.2,58,False,2000,19
3.5,58,False,2000,19
3.8,58,False,2000,19
4.0,58,False,2000,19
4.5,58,False,2000,19
5.0,58,False,2000,19
6.0,58,False,2000,19
0.0,59,False,2000,0
1.0,59,False,2000,0
2.0,59,False,2000,0
2.5,59,False,2000,3
2.8,59,False,2000,2
3.0,59,False,2000,1
3.2,59,False,2000,19
3.5,59,False,2000,19
3.8,59,False,2000,19
4.0,59,False,2000,19
4.5,59,False,2000,19
5.0,59,False,2000,19
6.0,59,False,2000,19
0.0,60,False,2000,0
1.0,60,False,2000,0
2.0,60,False,2000,0
2.5,60,False,2000,1
2.8,60,True,891,3
3.0,60,True,1115,3
3.2,60,True,886,4
3.5,60,True,1029,6
3.8,60,True,1029,6
4.0,60,True,1628,13
4.5,60,False,2000,19
5.0,60,False,2000,19
6.0,60,False,2000,19
0.0,61,False,2000,0
1.0,61,False,2000,0
2.0,61,False,2000,0
2.5,61,False,2000,1
2.8,61,False,2000,2
3.0,61,False,2000,18
3.2,61,True,910,4
3.5,61,True,754,4
3.8,61,True,754,4
4.0,61,True,754,4
4.5,61,True,762,7
5.0,61,True,762,7
6.0,61,True,762,7
0.0,62,False,2000,0
1.0,62,False,2000,0
2.0,62,False,2000,0
2.5,62,True,761,1
2.8,62,False,2000,2
3.0,62,False,2000,2
3.2,62,False,2000,19
3.5,62,False,2000,19
3.8,62,False,2000,19
4.0,62,False,2000,19
4.5,62,False,2000,19
5.0,62,False,2000,19
6.0,62,False,2000,19
0.0,63,False,2000,0
1.0,63,False,2000,0
2.0,63,False,2000,0
2.5,63,False,2000,1
2.8,63,False,2000,1
3.0,63,False,2000,1
3.2,63,False,2000,19
3.5,63,False,2000,19
3.8,63,False,2000,19
4.0,63,False,2000,19
4.5,63,False,2000,19
5.0,63,False,2000,19
6.0,63,False,2000,19
0.0,64,False,2000,0
1.0,64,False,2000,0
2.0,64,False,2000,0
2.5,64,False,2000,1
